fam1,fam2,fam3
99.79,95.51,98.72
98.72,94.23,92.31
97.86,98.72,98.72
100.00,100.00,98.72
99.57,99.36,100.00
98.29,97.44,100.00
98.50,100.00,98.72
98.08,98.72,94.87
94.66,78.21,89.74
98.93,93.59,85.90
96.79,84.62,82.05
98.08,94.23,92.31
98.29,99.36,98.72
98.72,95.51,97.44
99.15,98.08,97.44
98.08,96.15,96.15
97.86,84.62,97.44
98.93,98.08,94.87
97.65,96.15,92.31
95.09,61.54,48.72
98.29,99.36,96.15
98.29,98.08,97.44
95.73,92.31,96.15
97.44,95.51,97.44
99.36,100.00,97.44
96.37,94.23,93.59
97.65,96.15,93.59
94.23,94.23,100.00
99.57,94.87,93.59
98.50,94.87,97.44
99.57,99.36,100.00
96.79,73.72,70.51
99.79,97.44,97.44
97.01,87.82,89.74
94.66,87.18,89.74
98.93,96.79,96.15
98.72,96.79,96.15
98.93,96.79,92.31
99.79,100.00,100.00
99.79,96.79,98.72
98.08,95.51,94.87
98.72,94.87,94.87
99.79,100.00,100.00
98.93,91.67,97.44
99.79,99.36,100.00
99.57,97.44,94.87
100.00,98.72,100.00
97.01,94.87,96.15
99.57,94.87,97.44
98.93,97.44,92.31
